region,regioncode,district,districtcode,ward,wardcode,street,places
UNGUJA KUSINI,53,KATI,531,KOANI,53101,KOANI KATI,
UNGUJA KUSINI,53,KUSINI,532,MAKUNDUCHI,53201,MAKUNDUCHI KATI,
