region,regioncode,district,districtcode,ward,wardcode,street,places
PEMBA KUSINI,55,CHAKE CHAKE,551,CHAKE CHAKE,55101,CHAKE CHAKE KATI,
PEMBA KUSINI,55,MKOANI,552,MKOANI,55201,MKOANI KATI,
