region,regioncode,district,districtcode,ward,wardcode,street,places
UNGUJA KASKAZINI,52,KASKAZINI A,521,NUNGWI,52101,NUNGWI KATI,
UNGUJA KASKAZINI,52,KASKAZINI B,522,MAHONDA,52201,MAHONDA KATI,
